_timestamp,cpu_times.user,cpu_times.system,cpu_times.idle,cpu_times.interrupt,cpu_times.dpc,cpu_stats.ctx_switches,cpu_stats.interrupts,cpu_stats.soft_interrupts,cpu_stats.syscalls,cpu_load.load_1m,cpu_load.load_5m,cpu_load.load_15m,swap.total,swap.used,swap.free,swap.percent,swap.sin,swap.sout,virtual.total,virtual.available,virtual.percent,virtual.used,virtual.free,disk.total,disk.used,disk.free,disk.percent,disk_io.read_count,disk_io.write_count,disk_io.read_bytes,disk_io.write_bytes,disk_io.read_time,disk_io.write_time,net_io.bytes_sent,net_io.bytes_recv,net_io.packets_sent,net_io.packets_recv,net_io.errin,net_io.errout,net_io.dropin,net_io.dropout,label
1723900224.6438746,16153.531249999998,10722.20313,2445294,814.46875,752.703125,893371572,508605704,0,3655164628,0.44,0.25,0.19,28991029248,12576137216,16414892032,43.4,0,0,16832106496,2415812608,85.6,14416293888,2415812608,1.023E+12,6.63749E+11,3.59251E+11,64.9,10891191,2931779,1.71084E+11,1.27313E+11,10977,1513,198496111,598415411,261708,531895,0,0,0,0,normal
1723900225.647124,16153.812499999998,10722.4375,2445305.484,814.484375,752.703125,893385044,508613954,0,3655237387,0.44,0.25,0.19,28991029248,12561936384,16429092864,43.3,0,0,16832106496,2448904192,85.5,14383202304,2448904192,1.023E+12,6.63749E+11,3.59251E+11,64.9,10891406,2931931,1.71086E+11,1.27318E+11,10977,1513,198848429,598432432,261723,532059,0,0,0,0,normal
1723900226.6493154,16154.156249999998,10722.65625,2445316.797,814.484375,752.703125,893419476,508632276,0,3655400224,0.44,0.25,0.19,28991029248,12557987840,16433041408,43.3,0,0,16832106496,2435735552,85.5,14396370944,2435735552,1.023E+12,6.63749E+11,3.59251E+11,64.9,10891408,2931969,1.71086E+11,1.27318E+11,10977,1513,199198418,598447533,261738,532186,0,0,0,0,normal
1723900227.6520236,16154.328124999998,10722.76563,2445328.516,814.484375,752.703125,893431604,508639218,0,3655456439,0.44,0.25,0.19,28991029248,12560044032,16430985216,43.3,0,0,16832106496,2433806336,85.5,14398300160,2433806336,1.023E+12,6.63749E+11,3.59251E+11,64.9,10891641,2932051,1.71087E+11,1.27319E+11,10977,1513,199548521,598460582,261749,532297,0,0,0,0,normal
1723900228.6539397,16154.468749999998,10722.84375,2445340.391,814.484375,752.71875,893437732,508642406,0,3655489420,0.4,0.24,0.18,28991029248,12558794752,16432234496,43.3,0,0,16832106496,2435731456,85.5,14396375040,2435731456,1.023E+12,6.6375E+11,3.59251E+11,64.9,10891641,2932115,1.71087E+11,1.27321E+11,10977,1513,199903896,598481127,261774,532452,0,0,0,0,normal
1723900229.6561606,16154.703124999998,10723.10938,2445351.938,814.5,752.734375,893476258,508663129,0,3655658202,0.4,0.24,0.18,28991029248,12560392192,16430637056,43.3,0,0,16832106496,2444189696,85.5,14387916800,2444189696,1.023E+12,6.6375E+11,3.59251E+11,64.9,10891830,2932154,1.71088E+11,1.27322E+11,10977,1513,200274109,598498123,261799,532585,0,0,0,0,normal
1723900230.6580255,16154.859374999998,10723.54688,2445363.25,814.515625,752.734375,893484882,508672774,0,3655690602,0.4,0.24,0.18,28991029248,12585119744,16405909504,43.4,0,0,16832106496,2473795584,85.3,14358310912,2473795584,1.023E+12,6.6375E+11,3.5925E+11,64.9,10891830,2932208,1.71088E+11,1.27322E+11,10977,1513,200632398,598514454,261822,532738,0,0,0,0,normal
1723900231.6613104,16155.031249999998,10723.64063,2445375.016,814.515625,752.734375,893497681,508684953,0,3655755731,0.4,0.24,0.18,28991029248,12571820032,16419209216,43.4,0,0,16832106496,2464407552,85.4,14367698944,2464407552,1.023E+12,6.6375E+11,3.5925E+11,64.9,10892080,2932319,1.71089E+11,1.27327E+11,10977,1513,200986332,598530904,261838,532876,0,0,0,0,normal
1723900232.6617517,16155.234374999998,10723.84375,2445386.75,814.515625,752.734375,893528531,508701479,0,3655960517,0.4,0.24,0.18,28991029248,12587147264,16403881984,43.4,0,0,16832106496,2450026496,85.4,14382080000,2450026496,1.023E+12,6.6375E+11,3.5925E+11,64.9,10892119,2932372,1.7109E+11,1.27329E+11,10977,1513,201345984,598675070,261930,533124,0,0,0,0,normal
1723900233.6646943,16155.562499999998,10724.04688,2445398.25,814.515625,752.734375,893547638,508714191,0,3656126236,0.37,0.24,0.18,28991029248,12564557824,16426471424,43.3,0,0,16832106496,2565718016,84.8,14266388480,2565718016,1.023E+12,6.6375E+11,3.5925E+11,64.9,10892392,2932424,1.71091E+11,1.2733E+11,10977,1513,201698701,598688834,261944,533245,0,0,0,0,normal
