_timestamp,cpu_times.user,cpu_times.system,cpu_times.idle,cpu_times.interrupt,cpu_times.dpc,cpu_stats.ctx_switches,cpu_stats.interrupts,cpu_stats.soft_interrupts,cpu_stats.syscalls,cpu_load.load_1m,cpu_load.load_5m,cpu_load.load_15m,swap.total,swap.used,swap.free,swap.percent,swap.sin,swap.sout,virtual.total,virtual.available,virtual.percent,virtual.used,virtual.free,disk.total,disk.used,disk.free,disk.percent,disk_io.read_count,disk_io.write_count,disk_io.read_bytes,disk_io.write_bytes,disk_io.read_time,disk_io.write_time,net_io.bytes_sent,net_io.bytes_recv,net_io.packets_sent,net_io.packets_recv,net_io.errin,net_io.errout,net_io.dropin,net_io.dropout,label
1723899363,15959.625,10537.26563,2435327.656,801.8125,743.984375,872953640,498020993,0,3565319449,0.77,0.36,0.15,28991029248,11558580224,17432449024,39.9,0,0,16832106496,2273923072,86.5,14558183424,2273923072,1020000000000.00,664000000000.00,359000000000.00,64.9,10776022,2876667,170000000000.00,125000000000.00,10950,1501,32371079,550674493,232659,435972,0,0,0,0,normal
1723899364,15960.15625,10537.48438,2435339.156,801.8125,743.984375,872988476,498050215,0,3565899414,0.77,0.36,0.15,28991029248,11560747008,17430282240,39.9,0,0,16832106496,2283388928,86.4,14548717568,2283388928,1020000000000.00,664000000000.00,359000000000.00,64.9,10776029,2876740,170000000000.00,125000000000.00,10950,1501,32386780,550674776,232662,435977,0,0,0,0,normal
1723899365,15960.78125,10537.67188,2435350.375,801.828125,744,873000669,498059252,0,3566053562,0.77,0.36,0.15,28991029248,11575787520,17415241728,39.9,0,0,16832106496,2290110464,86.4,14541996032,2290110464,1020000000000.00,664000000000.00,359000000000.00,64.9,10776075,2876786,170000000000.00,125000000000.00,10950,1501,32409898,550687943,232674,436005,0,0,0,0,normal
1723899366,15961.0625,10537.82813,2435361.938,801.828125,744.03125,873015149,498069418,0,3566200583,0.77,0.36,0.15,28991029248,11546038272,17444990976,39.8,0,0,16832106496,2283601920,86.4,14548504576,2283601920,1020000000000.00,664000000000.00,359000000000.00,64.9,10776075,2876827,170000000000.00,125000000000.00,10950,1501,32410008,550692339,232677,436011,0,0,0,0,normal
1723899367,15961.57812,10538.03125,2435373.547,801.859375,744.046875,873033288,498081363,0,3566337231,0.7,0.35,0.15,28991029248,11557003264,17434025984,39.9,0,0,16832106496,2286051328,86.4,14546055168,2286051328,1020000000000.00,664000000000.00,359000000000.00,64.9,10776220,2876897,170000000000.00,125000000000.00,10950,1501,32429484,550696074,232687,436025,0,0,0,0,normal
1723899368,15961.89062,10538.17188,2435385.297,801.859375,744.078125,873048817,498091799,0,3566401551,0.7,0.35,0.15,28991029248,11559354368,17431674880,39.9,0,0,16832106496,2267848704,86.5,14564257792,2267848704,1020000000000.00,664000000000.00,359000000000.00,64.9,10776223,2876937,170000000000.00,125000000000.00,10950,1501,32450219,550702703,232702,436046,0,0,0,0,normal
1723899369,15962.26562,10538.32813,2435396.672,801.859375,744.078125,873065806,498104960,0,3566474738,0.7,0.35,0.15,28991029248,11570016256,17421012992,39.9,0,0,16832106496,2294018048,86.4,14538088448,2294018048,1020000000000.00,664000000000.00,359000000000.00,64.9,10777166,2877047,170000000000.00,125000000000.00,10950,1501,32470239,550706226,232708,436057,0,0,0,0,normal
1723899370,15962.78125,10538.48438,2435408.172,801.890625,744.078125,873089587,498119331,0,3566578116,0.7,0.35,0.15,28991029248,11554689024,17436340224,39.9,0,0,16832106496,2357612544,86,14474493952,2357612544,1020000000000.00,664000000000.00,359000000000.00,64.9,10777192,2878127,170000000000.00,125000000000.00,10950,1501,32472561,550712610,232715,436067,0,0,0,0,normal
1723899371,15963,10538.78125,2435419.75,801.890625,744.078125,873138131,498147718,0,3566795342,0.7,0.35,0.15,28991029248,11550216192,17440813056,39.8,0,0,16832106496,2305597440,86.3,14526509056,2305597440,1020000000000.00,664000000000.00,359000000000.00,64.9,10777415,2878183,170000000000.00,125000000000.00,10950,1501,32481079,550726451,232742,436096,0,0,0,0,normal
1723899372,15963.67187,10539.0625,2435430.766,801.890625,744.078125,873165151,498163254,0,3566938799,0.65,0.35,0.15,28991029248,11550748672,17440280576,39.8,0,0,16832106496,2308407296,86.3,14523699200,2308407296,1020000000000.00,664000000000.00,359000000000.00,64.9,10777422,2878253,170000000000.00,125000000000.00,10950,1501,32506318,550902289,232803,436253,0,0,0,0,normal
